#from fluorescence xafs of SrTiO3
#Energy_(eV) f''_(electrons)
4.960649797972784654e+03 4.785082686982313760e-01
4.960897845459594464e+03 4.784637816681570066e-01
4.961145892946404274e+03 4.784193007786053942e-01
4.961393940433212265e+03 4.783748260284048093e-01
4.961641987920022075e+03 4.783303574163966232e-01
4.961890035406831885e+03 4.782858949414108829e-01
4.962138082893641695e+03 4.782414386022867392e-01
4.962386130380449686e+03 4.781969883978569591e-01
4.962634177867259496e+03 4.785758660181773649e-01
4.962882225354069305e+03 4.790367787034416347e-01
4.963130272840877296e+03 4.794977119320886771e-01
4.963378320327687106e+03 4.804135063906307401e-01
4.963626367814496916e+03 4.808462625469110963e-01
4.964122462788114717e+03 4.809059494030947235e-01
4.964370510274924527e+03 4.809482266630281111e-01
4.964618557761732518e+03 4.809904995894197510e-01
4.964866605248542328e+03 4.817971443301946599e-01
4.965114652735352138e+03 4.832448778168139114e-01
4.965362700222160129e+03 4.846931889409805683e-01
4.965610747708969939e+03 4.861420782148097586e-01
4.965858795195779749e+03 4.883836866743034300e-01
4.966106842682587740e+03 4.906268280338926258e-01
4.966354890169397549e+03 4.930101619560843806e-01
4.966602937656207359e+03 4.953952461451027189e-01
4.966850985143015350e+03 4.981461079018576488e-01
4.967099032629825160e+03 5.017638086210832737e-01
4.967347080116634970e+03 5.067926583658145523e-01
4.967595127603442961e+03 5.140777587039868646e-01
4.967843175090252771e+03 5.241589353298954368e-01
4.968091222577062581e+03 5.434388077953292706e-01
4.968339270063870572e+03 5.676131931560999266e-01
4.968587317550680382e+03 5.919932280769717448e-01
4.968835365037490192e+03 6.071217752209537855e-01
4.969083412524298183e+03 6.012251650040105755e-01
4.969331460011107993e+03 5.893353130658909311e-01
4.969579507497917803e+03 5.774964501488069057e-01
4.969827554984725793e+03 5.802543644834249337e-01
4.970075602471535603e+03 5.995818865785469409e-01
4.970323649958345413e+03 6.362425778983749058e-01
4.970571697445153404e+03 6.812670646803203889e-01
4.970819744931963214e+03 7.270009144971372184e-01
4.971067792418773024e+03 7.478319271763547160e-01
4.971315839905582834e+03 7.374253058219075729e-01
4.971563887392390825e+03 7.199289732116916918e-01
4.971811934879200635e+03 7.025394467821881594e-01
4.972059982366010445e+03 6.956673925246279477e-01
4.972308029852818436e+03 6.996488200456952855e-01
4.972556077339628246e+03 7.154141715167605664e-01
4.972804124826438056e+03 7.424684489729262982e-01
4.973052172313246047e+03 7.857237455675440962e-01
4.973300219800055856e+03 8.407251648778998332e-01
4.973548267286865666e+03 8.967619985199684063e-01
4.973796314773673657e+03 9.516585434429840618e-01
4.974044362260483467e+03 9.979269880011033544e-01
4.974292409747293277e+03 1.027396019366994873e+00
4.974540457234101268e+03 1.046929651923504512e+00
4.974788504720911078e+03 1.060186071182054768e+00
4.975036552207720888e+03 1.069574416522286686e+00
4.975284599694528879e+03 1.076221197787834427e+00
4.975532647181338689e+03 1.082882078697555039e+00
4.975780694668148499e+03 1.090595139177518380e+00
4.976028742154956490e+03 1.098326820104869261e+00
4.976276789641766300e+03 1.100602310988278321e+00
4.976524837128576110e+03 1.096712476424425153e+00
4.976772884615384100e+03 1.082403849669323570e+00
4.977020932102193910e+03 1.061397699410327577e+00
4.977268979589003720e+03 1.036067241768283465e+00
4.977517027075811711e+03 1.010947492471762743e+00
4.977765074562621521e+03 9.962327217050276351e-01
4.978013122049431331e+03 9.915376288103121549e-01
4.978261169536239322e+03 9.964272642103315647e-01
4.978509217023049132e+03 1.004079709869495129e+00
4.978757264509858942e+03 1.011750738645740277e+00
4.979005311996666933e+03 1.019614438279446311e+00
4.979253359483476743e+03 1.030200382153539262e+00
4.979501406970286553e+03 1.043361145299450676e+00
4.979749454457094544e+03 1.065620723701861117e+00
4.979997501943904354e+03 1.100716448668945358e+00
4.980245549430714163e+03 1.148194316793309966e+00
4.980493596917523973e+03 1.214232411908963361e+00
4.980741644404331964e+03 1.293367860181196871e+00
4.980989691891141774e+03 1.401238448454115826e+00
4.981237739377951584e+03 1.532266208620598480e+00
4.981485786864759575e+03 1.693351429278854736e+00
4.981733834351569385e+03 1.879661469286912023e+00
4.981981881838379195e+03 2.092525097755687735e+00
4.982229929325187186e+03 2.325041075995848416e+00
4.982477976811996996e+03 2.588131678024973681e+00
4.982726024298806806e+03 2.880039270701904908e+00
4.982974071785614797e+03 3.203384797594402755e+00
4.983222119272424607e+03 3.554149238364896490e+00
4.983470166759234417e+03 3.910976968894499528e+00
4.983718214246042407e+03 4.246624961489700034e+00
4.983966261732852217e+03 4.505117085668721266e+00
4.984214309219662027e+03 4.646878213240573707e+00
4.984462356706470018e+03 4.708851000031095246e+00
4.984710404193279828e+03 4.667762127946709860e+00
4.984958451680089638e+03 4.611183907191027664e+00
4.985206499166897629e+03 4.551692894539685064e+00
4.985454546653707439e+03 4.492929928867861022e+00
4.985702594140517249e+03 4.468966362495781830e+00
4.985950641627325240e+03 4.461532957049926473e+00
4.986198689114135050e+03 4.464888392797568883e+00
4.986446736600944860e+03 4.476709364196715057e+00
4.986694784087752851e+03 4.480514551734574802e+00
4.986942831574562661e+03 4.484322794169153248e+00
4.987190879061372470e+03 4.473853611937887109e+00
4.987438926548180461e+03 4.440300989247667474e+00
4.987686974034990271e+03 4.393205522091025550e+00
4.987935021521800081e+03 4.346575478146103677e+00
4.988183069008608072e+03 4.311112916412630724e+00
4.988431116495417882e+03 4.291419716966045961e+00
4.988679163982227692e+03 4.295063846442294775e+00
4.988927211469035683e+03 4.317150274484662376e+00
4.989175258955845493e+03 4.352383039095643724e+00
4.989423306442655303e+03 4.388975954868790552e+00
4.989671353929463294e+03 4.425854114003653805e+00
4.989919401416273104e+03 4.454849668174061250e+00
4.990167448903082914e+03 4.481882601169741243e+00
4.990415496389892724e+03 4.488224086906908994e+00
4.990663543876700714e+03 4.493339406846963868e+00
4.990911591363510524e+03 4.499696120957108469e+00
4.991159638850320334e+03 4.530028570314891923e+00
4.991407686337128325e+03 4.566809580852984496e+00
4.991655733823938135e+03 4.615368572742782227e+00
4.991903781310747945e+03 4.664419754465099821e+00
4.992151828797555936e+03 4.711817598592118017e+00
4.992399876284365746e+03 4.754492170020640174e+00
4.992647923771175556e+03 4.795296580740440184e+00
4.992895971257983547e+03 4.834087686300976294e+00
4.993144018744793357e+03 4.848237023700361803e+00
4.993392066231603167e+03 4.861126478785446459e+00
4.993640113718411158e+03 4.871001204436276488e+00
4.993888161205220968e+03 4.883950021892151661e+00
4.994136208692030777e+03 4.901404589636372044e+00
4.994384256178838768e+03 4.929576493731850029e+00
4.994632303665648578e+03 4.960335918584999781e+00
4.994880351152458388e+03 4.991285442990444743e+00
4.995128398639266379e+03 5.019466295355294427e+00
4.995376446126076189e+03 5.033215769465000378e+00
4.995872541099693990e+03 5.031545566695132976e+00
4.996120588586503800e+03 5.019866245795896909e+00
4.996368636073313610e+03 5.004084415263752916e+00
4.996616683560121601e+03 4.987053075467682284e+00
4.996864731046931411e+03 4.965357168551206790e+00
4.997112778533741221e+03 4.942143238327060928e+00
4.997360826020549212e+03 4.920641324555845131e+00
4.997608873507359021e+03 4.906618638854729042e+00
4.997856920994168831e+03 4.900861990045171979e+00
4.998104968480976822e+03 4.896800351276638708e+00
4.998353015967786632e+03 4.914360825074293615e+00
4.998601063454596442e+03 4.931983417666880420e+00
4.998849110941404433e+03 4.936835214797258509e+00
4.999097158428214243e+03 4.920895751554671627e+00
4.999345205915024053e+03 4.904886278282304168e+00
4.999593253401833863e+03 4.887611726251710920e+00
4.999841300888641854e+03 4.857509491157552262e+00
5.000089348375451664e+03 4.804962250217679198e+00
5.000585443349069465e+03 4.728868371304788099e+00
5.001081538322689084e+03 4.644038879067880821e+00
5.001577633296306885e+03 4.560671707434305944e+00
5.002073728269924686e+03 4.496146794196170582e+00
5.002569823243544306e+03 4.450651946500771672e+00
5.003065918217162107e+03 4.425272479559371419e+00
5.003562013190779908e+03 4.408086992578883923e+00
5.004306155651207519e+03 4.409137950997740418e+00
5.004802250624827138e+03 4.410534315788693149e+00
5.005298345598444939e+03 4.409496419686837143e+00
5.005794440572062740e+03 4.391880462810247465e+00
5.006538583032490351e+03 4.352361863403017672e+00
5.007034678006109971e+03 4.306099766504774884e+00
5.007778820466537582e+03 4.258587911974805351e+00
5.008274915440155382e+03 4.213247049000826472e+00
5.008771010413775002e+03 4.179225529502256897e+00
5.009515152874202613e+03 4.146409303366134225e+00
5.010011247847820414e+03 4.116468778889998958e+00
5.010755390308248025e+03 4.086406587137889623e+00
5.011499532768675635e+03 4.056000006968306870e+00
5.011995627742293436e+03 4.026110315953702390e+00
5.012739770202721047e+03 3.996107862266985666e+00
5.013235865176340667e+03 3.962498628355894947e+00
5.013980007636768278e+03 3.920480300979057198e+00
5.014724150097195889e+03 3.870980616994067702e+00
5.015468292557623499e+03 3.818214718380438910e+00
5.015964387531241300e+03 3.766369464851472948e+00
